category;former;after
split;SUN810;ARM051
split;SUN810;AZE031
split;YUG890;BIH070
split;SUN810;BLR112
split;CSK200;CZE203
split;SUN810;EST233
split;SUN810;GEO268
split;YUG890;HRV191
split;SUN810;KGZ417
split;SUN810;KAZ398
split;SUN810;LTU440
split;SUN810;LVA428
split;SUN810;MDA498
split;YUG890;MKD807
split;SCG891;MNE499
split;SCG891;SRB688
split;YUG890;SCG891
split;SUN810;RUS643
split;YUG890;SVN705
split;CSK200;SVK703
split;SUN810;TJK762
split;SUN810;TKM795
split;SUN810;UKR804
split;SUN810;UZB860
split;SCG891;KOSOVO
merge;DEU280;DEU276
merge;DDR278;DEU276
split;SDN736;SDN729
split;SDN736;SSD728
merge;YEM886;YEM887
merge;YMD720;YEM887
