alphanumiso;first_year;last_year;former
ARM051;1992;;SUN810
AZE031;1992;;SUN810
BIH070;1992;;YUG890
BLR112;1992;;SUN810
CSK200;;1992;
CZE203;1993;;CSK200
EST233;1992;;SUN810
GEO268;1992;;SUN810
HRV191;1992;;YUG890
KGZ417;1992;;SUN810
KAZ398;1992;;SUN810
LTU440;1992;;SUN810
LVA428;1992;;SUN810
MDA498;1992;;SUN810
MKD807;1992;;YUG890
MNE499;2006;;SCG891
SRB688;2006;;SCG891
SCG891;1992;2005;YUG890
RUS643;1992;;SUN810
SVN705;1992;;YUG890
SVK703;1993;;CSK200
SUN810;;1991;
TJK762;1992;;SUN810
TKM795;1992;;SUN810
UKR804;1992;;SUN810
UZB860;1992;;SUN810
KOSOVO;2008;;SCG891
YUG890;;1991;
