material_category_2;material_id;associated_material_id;metal_element;atomic_mass_1;amount_metal_element;element_2;atomic_mass_2;amount_element_2;element_3;atomic_mass_3;amount_element_3;factor
metal compound;Me.Al2O3;Me.Al;Al;26.98150063;2;O;15.99940014;3;;;;0.529250346
metal compound;Me.As2O3;Me.As;As;74.92160034;2;O;15.99940014;3;;;;0.757390515
metal compound;Me.Cr2O3;Me.Cr;Cr;51.99610138;2;O;15.99940014;3;;;;0.684202427
metal compound;Me.Li2CO3;Me.Li;Li;6.940999985;2;C;12.01070023;1;O;15.99940014;3;0.187871576
metal compound;Me.LiOH;Me.Li;Li;6.940999985;1;O;15.99940014;1;H;1.007940054;1;0.289832194
metal compound;Me.Li2O;Me.Li;Li;6.940999985;2;O;15.99940014;1;;;;0.46456993
metal compound;Me.MgO;Me.Mg;Mg;24.30500031;1;O;15.99940014;1;;;;0.603035898
metal compound;Me.Nb2O5;Me.Nb;Nb;92.90640259;2;O;15.99940014;5;;;;0.699044208
metal compound;Me.Ce2O3;Me.Ce;Ce;140.1159973;2;O;15.99940014;3;;;;0.853766652
metal compound;Me.Dy2O3;Me.Dy;Dy;162.5;2;O;15.99940014;3;;;;0.871317877
metal compound;Me.Er2O3;Me.Er;Er;167.2590027;2;O;15.99940014;3;;;;0.874519825
metal compound;Me.Eu2O3;Me.Eu;Eu;151.9640045;2;O;15.99940014;3;;;;0.863612885
metal compound;Me.Gd2O3;Me.Gd;Gd;157.25;2;O;15.99940014;3;;;;0.867590514
metal compound;Me.Ho2O3;Me.Ho;Ho;164.9299927;2;O;15.99940014;3;;;;0.872972977
metal compound;Me.La2O3;Me.La;La;138.9049988;2;O;15.99940014;3;;;;0.85267958
metal compound;Me.Lu2O3;Me.Lu;Lu;174.9669952;2;O;15.99940014;3;;;;0.879380956
metal compound;Me.Nd2O3;Me.Nd;Nd;144.2420044;2;O;15.99940014;3;;;;0.857352932
metal compound;Me.Pr2O3;Me.Pr;Pr;140.9080048;2;O;15.99940014;3;;;;0.854468974
metal compound;Me.Pm2O3;Me.Pm;Pm;146.9149933;2;O;15.99940014;3;;;;0.859583843
metal compound;Me.Sm2O3;Me.Sm;Sm;150.3600006;2;O;15.99940014;3;;;;0.862358202
metal compound;Me.Sc2O3;Me.Sc;Sc;44.95589828;2;O;15.99940014;3;;;;0.651959963
metal compound;Me.Tb2O3;Me.Tb;Tb;158.9250031;2;O;15.99940014;3;;;;0.868802964
metal compound;Me.Tm2O3;Me.Tm;Tm;168.9340057;2;O;15.99940014;3;;;;0.875609216
metal compound;Me.Yb2O3;Me.Yb;Yb;173.0540009;2;O;15.99940014;3;;;;0.878209985
metal compound;Me.Y2O3;Me.Y;Y;88.90589905;2;O;15.99940014;3;;;;0.78743988
metal compound;Me.Ta2O5;Me.Ta;Ta;180.947998;2;O;15.99940014;5;;;;0.818967485
metal compound;Me.TiO2;Me.Ti;Ti;47.86700058;1;O;15.99940014;2;;;;0.599342899
metal compound;Me.U3O8;Me.U;U;238.029007;3;O;15.99940014;8;;;;0.84800154
metal compound;Me.WO3;Me.W;W;183.8399963;1;O;15.99940014;3;;;;0.792966814
metal compound;Me.V2O5;Me.V;V;50.94150162;2;O;15.99940014;5;;;;0.560166049
