material_id;unit_id;unit_cat
M.ign;cm;volume
M.ign;Kcm;volume
M.mat;cm;volume
M.mat;Kcm;volume
M.lim;cm;volume
M.SiO2;cm;volume
M.sag;cm;volume
M.dol;cm;volume
M.crs;Kcm;volume
M.crs;cm;volume
M.sto;cm;volume
M.sag;Kcm;volume
M.SiO2;Kcm;volume
M.sto;Kcm;volume
M.ins;Kcm;volume
M.abr;cm;volume
M.coc;cm;volume
M.qar;cm;volume
M.sas;Kcm;volume
M.cha;Kcm;volume
M.lim;Kcm;volume
M.mat;cf;volume
Me.CaCO3;cm;volume
M.cha;cm;volume
M.dol;Kcm;volume
M.sla;Kcm;volume
M.coc;Mcm;volume
M.coc;Kcm;volume
M.mas;cm;volume
M.sas;cm;volume
M.gya;cm;volume
M.fic;cm;volume
M.abr;Kcm;volume
M.spc;cm;volume
F.nag;Gcf;volume
F.ngl;Kbpd;volume
F.cro;Kbpd;volume
F.nag;TJ;energy
