"","commodity","no_match"
"1","Production of aggregates, primary","no_match"
"2","Production of bentonite and fuller's earth","no_match"
"3","Production of cement  clinker","no_match"
"4","Production of cement, finished","no_match"
"5","Production of coal","no_match"
"6","Production of cobalt, refined","no_match"
"7","Production of copper, refined","no_match"
"8","Production of copper, smelter","no_match"
"9","Production of diamond","no_match"
"10","Production of ferro-alloys","no_match"
"11","Production of hafnium, refined","no_match"
"12","Production of helium","no_match"
"13","Production of iron, pig","no_match"
"14","Production of lead, refined","no_match"
"15","Production of natural gas","no_match"
"16","Production of nickel, smelter/refinery","no_match"
"17","Production of petroleum, crude","no_match"
"18","Production of platinum group metals, mine","no_match"
"19","Production of salt","no_match"
"20","Production of selenium, refined","no_match"
"21","Production of steel, crude","no_match"
"22","Production of tantalum and niobium minerals","no_match"
"23","Production of tellurium, refined","no_match"
"24","Production of tin, smelter","no_match"
"25","Production of titanium minerals","no_match"
"26","Production of zinc, slab","no_match"
