country "Country, region or organization"
158 "Other Asia"
176 "Mayotte (up to 2010)"
255 "French Guiana (up to 2010)"
263 "French Equatorial Africa"
265 "French Indo-China"
267 "French West Africa"
313 "Guadeloupe (up to 2010)"
423 "Leeward Islands"
455 "Federation of Malaya, Sabah, Sarawak and Singapore"
475 "Martinique (up to 2010)"
532 "Netherlands Antilles and Aruba"
534 "Sint Maarten (Dutch part)"
582 "Pacific Islands (Trust Territory)"
639 "Reunion (up to 2010)"
645 Ruanda-Urundi
658 "St. Kitts-Nevis-Anguilla"
831 Guernsey
832 Jersey
833 "Isle of Man"
