product Name
BC "Patent fuel"
BT Bitumen
CH Charcoal
CL "Hard Coal"
DL "Gas Oil/ Diesel Oil"
EH Hydro
EL "Total Electricity"
ES "Solar Electricity"
ET "Thermal Electricity"
FW Fuelwood
MO "Motor Gasoline"
OK "Coke Oven Coke"
RF "Fuel Oil"
BB "Brown Coal Briquettes"
HF "Heat from combustible fuels"
JF "Kerosene-type Jet Fuel"
KR "Other kerosene"
LB "Brown Coal"
LP "Liquified Petroleum Gas"
LU Lubricants
NP Naphtha
PK "Petroleum Coke"
PP "Other oil products n.e.c."
RG "Refinery Gas"
ST Heat
AV "Aviation Gasoline"
BG "Blast Furnace Gas"
EA Ethane
EW "Wind Electricity"
GG "Gasworks Gas"
OG "Coke Oven Gas"
WS "White spirit and special boiling point industrial spirits"
MW "Municipal Wastes"
BS Bagasse
GJ "Gasoline-type jet fuel"
VW "Other Vegetal Material and Residues"
AL Biogasoline
BD Biodiesel
EN "Nuclear Electricity"
PW "Paraffin waxes"
UR Uranium
BI Biogases
CT "Coal Tar"
EG Geothermal
GK "Gas Coke"
IW "Industrial Waste"
PU "Black liquor"
BO "Other recovered gases"
OL "Other liquid biofuels"
AW "Animal waste"
BP "Peat Products"
EO "Tide, wave and ocean electricity"
AO "Additives and Oxygenates"
BJ "Bio jet kerosene"
FS "Refinery Feedstocks"
