Country;Material;Year;Original value;Adjusted value;Internal source description
Algeria;Cadmium;2003;7000;;bgs
Algeria;Fuller's earth;1974;22000;;bgs
Argentina;Gemstones n.e.c.;1989;90000;10541;usgs
Armenia;Salt nec;1992;90000;;bgs
Australia;Dimension stone n.e.c.;1972;318000;40500;usgs
Austria;Sand and gravel;2020;54872018.81098;29943517;estimation based on consumption of cement and bitumen
Belgium;Sand and gravel;2018;65002569.47715999;19000000;estimation based on consumption of cement and bitumen
Bolivia;Slate including fill (incl. roof slate);1991;14820;2552;usgs
Brazil;Fire, refactory and flint clay, Andalusite, kyanite and sillimanite;1980;4270;1670;bgs
Brazil;Lithium ore;2020;83042.1691997849;9000;own estimation based on wmd
Brazil;Mica;2014;427341;10364;bgs
Bulgaria;Asbestos;1974;25000;13000;bgs
Burkina Faso;Marble, travertines etc.;1990;8280000;100000;usgs
Canada;Lithium ore;2018;140000;550;bgs
Chile;Gemstones n.e.c.;2006;400;101;usgs
Czech Republic;Sand and gravel;2020;47385811.48194;19982000;estimation based on consumption of cement and bitumen
Czechoslovakia;Magnesite;1992;1267000;328000;bgs
Denmark;Diatomite;1973;226309;123109;bgs
Denmark;Fire, refactory and flint clay, Andalusite, kyanite and sillimanite;1993;13400;1785;usgs
Eritrea;Calcium carbonate;1998;245112;91648.5;usgs
Eritrea;Qartz and quartzite;2004;4496;236.5;usgs
Germany;Silicate minerals n.e.c.;1971;1089.704;122.06099999999999;usgs
Greece;Kaolin;1970;482274;;bgs
Greece;Talc (steatite, soapstone, pyrophyllite);1986;17310;5616;bgs
Guatemala;Dolomite;2004;63082;7357.5;usgs
Hong Kong;Kaolin;1978;25046;2653.5;bgs
India;Gemstones n.e.c.;2015;9330;;usgs
Iran;Asbestos;1997;10373;2192.5;bgs
Iran;Gemstones n.e.c.;1970;300;;usgs
Israel;Common clay, clay for bricks etc.;2007;9849474;1069296.5;usgs
Italy;Bauxite;1976;2503000;33500;bgs
Italy;Fuller's earth;1974;97897;;bgs
Italy;Ornamental stone;1975;5292000;0;usgs
Jordan;Igneous rock (basalt, basaltic lava, diabase, granite, porphyry, etc.);2005;2486629.942;27457.012000000002;usgs
Jordan;Silicate minerals n.e.c.;2009;139000;11500;usgs
Kazakhstan;Vanadium - associated ore;1992;391515.7245669146;;own estimation based on bgs
Kenya;Barite;1982;515672;1445.5;bgs
Madagascar;Calcite;1977;46915;1760;usgs
Madagascar;Kaolin;1976;25397;3229.5;bgs
Madagascar;Marble, travertines etc.;1976;29700;6017.5;usgs
Malawi;Gemstones n.e.c.;2018;1165.7930000000001;90.944;usgs
Malaysia;Bauxite;2016;6700000;;wmd
Mexico;Calcite;2004;18545973;3568860;usgs
Mozambique;Dimension stone n.e.c.;2011;479781.86399999994;0;usgs
Namibia;Gemstones n.e.c.;2001;5561.185;1231.8764999999999;usgs
New Zealand;Dimension stone n.e.c.;2017;162465;14737;usgs
New Zealand;Dolomite;2015;200911;11462.5;usgs
Nicaragua;Salt nec;1970;111700;;bgs
Norway;Sand and gravel;2020;61584356.47688;13863000;estimation based on consumption of cement and bitumen
Oman;Salt nec;2009;30600;11350;bgs
Pakistan;Abrasives, natural (puzzolan, pumice, volcanic cinder etc.);1990;55000;6080;usgs
Pakistan;Stone, n.e.c.;1982;3833000;192500;usgs
Paraguay;Industrial sand;1997;10000000;3505000;usgs
Peru;Borate minerals;2015;662709;136758.5;bgs
Peru;Igneous rock (basalt, basaltic lava, diabase, granite, porphyry, etc.);1987;64296;823.5;usgs
Philippines;Abrasives, natural (puzzolan, pumice, volcanic cinder etc.);1978;221936.635;265.0535;usgs
Philippines;Kaolin;1979;402241;11136;usgs
Philippines;Phosphate rock;1975;131214;26869;bgs
Philippines;Pyrite;1993;3170000;335000;usgs
Portugal;Sand and gravel;2020;28033104.1187;8397126;estimation based on consumption of cement and bitumen
Romania;Cadmium;1989;186;13.5;bgs
Romania;Graphite, natural;2009;24352;3316.5;bgs
Russian Federation;Graphite, natural;1992;41700;;bgs
Slovenia;Sand and gravel;2020;6827344.617319999;1437101;estimation based on consumption of cement and bitumen
South Africa;Gemstones n.e.c.;1970;1046.5;;usgs
South Africa;Special clay;2000;7358000;35000;usgs
Thailand;Diatomite;2011;38130;7800;bgs
Thailand;Phosphate rock;2010;35783;1979;bgs
Turkey;Tungsten - associated ore;1976;1164351.3168395017;6461.154761411969;own estimation based on bgs
Ukraine;Perlite;1992;90000;;bgs
Uruguay;Igneous rock (basalt, basaltic lava, diabase, granite, porphyry, etc.);2009;7430300;567700;usgs
Uruguay;Qartz and quartzite;1976;7024;875.5;usgs
Zambia;Common clay, clay for bricks etc.;1980;8392000;50000;usgs
Zimbabwe;Chromium ore;2019;1550064;894660;bgs
Zimbabwe;Qartz and quartzite;2002;6790000;28000;usgs
